geometry,brand,brand:wikidata,brand:wikipedia,name,name:ta,shop,addr:city,addr:postcode,addr:street,bench,bin,bus,highway,organic,public_transport,shelter,website,landuse,operator,addr:housenumber,air_conditioning,changing_table,check_date,currency:INR,internet_access,name:en,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:upi,payment:visa,second_hand,toilets,toilets:wheelchair,wikidata,wikipedia,source,building:levels,phone,ref:vatin,wheelchair,old_addr:housenumber,opening_hours,alt_name,is_in,note,addr:country,addr:place,comment,payment:coins,payment:cryptocurrencies,payment:electronic_purses,payment:notes,description,payment:maestro,addr:full,level,image,panoramax,addr:district,building,payment:google_pay
POINT (80.2580826 12.9735902),,,,Sri Murugan Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1903845 13.0468582),,,,Chandra Metro Mall,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q5071297,en:Chandra Mall,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2174636 13.0342232),,,,Jeevan,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2522381 12.9952269),,,,Cee Dee Yes supermarket,,supermarket,,600020,I Avenue Indira nagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survey,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.229992 12.9810009),,,,Shopper's Paradise,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.219018 12.9719184),,,,Sri Venkatashwara Supermarket,,supermarket,Chennai,600042,11th Main Road,,,,,,,,,,,28,yes,,2026-03-11,,,,yes,yes,yes,,,,,,,,,,2,+91 44 3550 5365;+91 97865 45001,33AEAPP4783RZU,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2071871 13.0769447),,,,Murugan Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2563781 12.9614559),,,,Singapore Shoppee,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
POINT (80.2467629 13.059543),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,
POINT (80.2050056 13.0676158),,,,Stop and Shop,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2200478 12.9730064),,,,Annachi Super Market,,supermarket,,,,,,,,,,,,,,,,,2026-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2385427 13.0414126),Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2293217 13.0630707),Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,,supermarket,Chennai,600094,Abdullah Street,,,,,,,,,,reliance,25,,,,,,,,,,,,,,,,,,,,,,,10,Mo-Su 07:00-21:00,,,,,,,,,,,,,,,,,,,
POINT (80.18853 12.9825831),,,,Spencer's,,supermarket,,600061,"4th Main Road, Nanganallur",,,,,yes,,,https://www.spencers.in/,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spencers,,,,,,,,,,,,,,,,,,
POINT (80.187849 12.9775601),,,,Mahayoham Supermarket,,supermarket,Chennai,,46th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1920439 12.9838491),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,600061,Nanganallur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.191427 12.9830023),,,,Heritage Fresh,,supermarket,,600061,Nanganallur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1749834 13.0163006),,,,Alams Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manapackam,,,,,,,,,,,,,,,,,
POINT (80.2453424 12.9636492),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2173031 13.0922181),Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,,supermarket,,,,,,,,,,,,,Reliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1917975 12.9827037),,,,Sugar N Spice,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.221979 12.9841137),,,,Pazhamudhir Cholai,,supermarket,Chennai,600042,Jagannathapuram 1st Main road,,,,,,,,http://www.pazhamudhircholai.com,,,1,,,,,,,,,,,,,,,,,,,,+91 44 2255 3555,33AALFP4650J1Z2,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2226282 12.9837296),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2188199 12.9905101),,,,Buy Bazaar,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2023937 12.965964),,,,GMart,,supermarket,,,,,,,,,,,,,GMart,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,
POINT (80.1862123 13.0430957),,,,Grace supermarket,கிரேஸ் சிறப்பு அங்காடி,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1745662 13.0175064),,,,Grow SuperMarket Manapakkam,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2618804 12.9828491),,,,Singapore Shoppe,,supermarket,Chennai,600041,1st Seaward Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2592138 13.0388272),,,,Wait Rose,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I believe this isn't by the guys who run London's waitrose.,,,,,,,,,,,,,,,,
POINT (80.266752 13.0325923),,,,Sri Krishna Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
POINT (80.2528473 13.0597092),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044-28290119,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2505372 13.0070553),,,,Style One,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2224448 13.0253001),More,Q6910891,en:More (store),More,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2214489 13.0385168),Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2405136 12.9969608),,,,Ambika Retail,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,
POINT (80.2509856 13.0071295),,,,Reliance Trends,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2598799 13.0989018),,,,ARS SUPER MARKET,,supermarket,CHENNAI,600011,Perambur Barracks Rd,,,,,,,,,,ARAVIND,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1955743 13.0597055),,,,Lakshmi Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2101801 13.0034121),,,,Madras Supermarket,,supermarket,,600032,Maduvankarai Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2246263 13.0686453),,,,Kovai Pazhamudir Nilayam,,supermarket,,600094,Nelson Manickam Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2248039 13.0698579),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,600094,Nelson Manickam Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2144512 13.024337),,,,Sumal Vegetables Market,,supermarket,,,West Jones Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.251867 13.0064298),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,Ambika Appalam Depot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2181179 12.9839879),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,pazhamuthir sollai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2093652 12.9648137),,,,Shine Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,
POINT (80.2362976 13.0143187),,,,gurunath stores,,supermarket,chennai,600025,sardar patel road anna university ceg campus,,,,,,,,,,private operator,,,,,,,,,,,,,,,,,,,,,,,,,08:30-20:30,,,,,,,,,,,,,,,,,,,
POINT (80.2297373 13.0379675),,,,Saravana Stores Super Market,,supermarket,t.nagar,600 017,Ramanathan Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2306035 13.0356535),,,,,,supermarket,,,South Usman Road,,,,,,,,,,,,,,,,,Pothys Hyper Super Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2294591 13.03801),,,,,,supermarket,,600 017,Ramanathan Street,,,,,,,,,,,,,,,,,Saravana Super Market,,,,,,,,,,,,,,04424314242,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2776473 13.0839331),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,Praveen Plastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2307424 12.9856682),,,,Sri Ayyanaar Store,,supermarket,Chennai,600042,Gandhi Road,,,,,,,,,,,,,,,,,,yes,no,no,,,,,,,,,,,,,no,,08:30-20:30,,Velacheri;Chennai;Tamilnadu;TN;India;IN,,IN,Velachry,not a super market but have most of grocery items except vegetables it is more than a conveniencestore,yes,no,no,yes,,,,,,,,,
POINT (80.1927849 13.0379652),,,,,,supermarket,,600078,Anna Main Road,,,,,,,,,,,,,,,,,SUPER MARKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2249871 12.9862638),,,,Sri Periyandavar Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1881554 13.0871698),,,,Annachi Supermarket,அண்ணாச்சி சிறப்பு அங்காடி,supermarket,,,"Bazaar Rd, Thirumangalam, Collector Nagar, J J Nagar, Mogappair East, Chennai, Tamil Nadu 600101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+9195662 52790,,,,Mo-Sa 08:00-23:00; Su 10:00-21:30,,,,,,,,,,,Grocery Super Market,,,,,,,,
POINT (80.199766 13.085416),,,,Nilgris Supermarket,,supermarket,,,"2nd Avenue, Anna Nagar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1670292 13.081515),,,,DR SUPER MARKET,,supermarket,Chennai,600037,"Ramalingam Salai, 4th Block, Mogappair West, Ambattur Industrial Estate",,,,,,,,,,,4/744,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-22:00,,,,,,,,,,,,,,,,,,,
POINT (80.2621523 12.9771822),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2781615 13.0845384),,,,,,supermarket,,600003,South Mint Street,,,,,,,,,,,502/266,,,,,,Eshwararam Metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2295534 12.9813012),,,,Ayya SuperMarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2089352 12.9799898),,,,JK Super Market,,supermarket,,,"Aandal Nagar, 6th Cross Street, Adambakkam - 600088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1966386 13.0874539),,,,Annachi Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2681846 13.0175213),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2407688 13.045587),,,,Nuts and Spices,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2406636 13.0455141),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1978426 13.079402),,,,,,supermarket,,,,,,,,,,,,,,,,,,,,VR Mall,,,,,,,,,,,,,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,,,,,,,
POINT (80.1570095 13.1011119),,,,Neo Supermarket,,supermarket,"Ambattur, Chennai",600058,"Thiruppur Kumaran Street, VGN Shanthi Nagar, Ambattur, Chennai",,,,,,,,,,,"CSA2, 8",,,,,,,yes,,yes,,,,,,,,,,,9444258291,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2455557 13.054753),,,,Helice,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2456105 13.0554705),,,,Rajendran Store,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2457969 13.0553682),,,,Angadi,,supermarket,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2430596 13.0574051),,,,Grace World,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2439087 12.9695845),,,,WhatsFresh,,supermarket,Perungudi,600096,Dr MGR Main Road,,,,,,,,,,WhatsFresh,"40, Global Infocity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1602804 13.0210736),,,,Arush Retail Supermarket,,supermarket,Mugalivakkam,600125,Mugalivakkam Main Road,,,,,,,,,,,1,yes,,,,,,yes,yes,yes,yes,,yes,,,,,,,,,,,,Mo-Su 07:00-22:00,,,,,,,yes,,,,,yes,,,,,,,
POINT (80.2155103 13.0342714),,,,Nuts N Spices,,supermarket,Chennai,600033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2151382 13.0341642),,,,Grace Super Market,,supermarket,Chennai,600033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2360977 12.9665853),,,,Krishna Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1897943 13.0932135),,,,Prabhuraja supermarket,,supermarket,Chennai,600050,"NSC Bose st, Kumaran nagar,Padi",,,,,,,,,,,139,,,,,,,yes,,,yes,,,,,,,,,,,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,,,,,,,
POINT (80.1480943 13.1214544),,,,Singapore Shopping,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.1537233 13.1189931),,,,Grace Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.268615 13.0474258),,,,அமுதம் பல்பொருள் சிறப்பு அங்காடி(சுய சேவை பிரிவு),,supermarket,,,VM St,,,,,,,,,,,430,,,,,,Amudham Super Market,,,,,,,,,,,,,,,,,,Mo-Su 08:00-20:00,,,,,,,,,,,,,,,,,,,
POINT (80.2123238 13.0284745),,,,Ray Mart Supermarket,,supermarket,,,"No 1, Gangai Amman Koil St, Barathi Block, VSM Garden, West Jafferkhanpet, Chennai, Tamil Nadu 600083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044 2489 1942,,,,Mo-Su 09:30-21:30,,,,,,,,,,,,,,,,,,,
POINT (80.2088159 13.0299976),,,,Visalam Supermarket,,supermarket,,,"97/98, 1, Jawaharlal Nehru Road, Ashok Nagar, Chennai, Tamil Nadu 600083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044 2489 0527,,,,Mo-Su 09:00-23:00,,,,,,,,,,,,,,,,,,,
POINT (80.2323815 13.0365972),,,,Bharath Gem Testing Lab,,supermarket,Chennai,600017,Mothilol street,,,,,,,,,,,42,,,,,,,yes,,,,,,,,,,,,,+914424338725,,,,Mo-Sa 10:00-19:00,,,,,,,,,,,,,,,,,,,
POINT (80.2513463 12.9983201),,,,Dhanyam organic shop,,supermarket,Chennai,600020,Indira Nagar 3rd Ave,,,,,only,,,https://dhanyam.in/,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2211935 12.9761125),,,,Dhanyam Organic store,,supermarket,Chennai,600045,Velachery Main Road,,,,,only,,,https://dhanyam.in/,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2443029 13.0445056),,,,Dhanyam organic store,,supermarket,chennai,600017,Doctor Shivaji Ganesan Road,,,,,only,,,https://dhanyam.in/,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.212224 13.0838561),,,,Dhanyam Organic shop,,supermarket,Chennai,600040,4th Street,,,,,only,,,https://dhanyam.in/,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2534825 12.942059),,,,Dhanyam organic store,,supermarket,Chennai,,East Coast Road SH49,,,,,only,,,https://dhanyam.in/,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2436443 12.87087),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2807246 13.0859974),,,,C.S.Rajasundaram Chetty & Sons.,,supermarket,Chennai,600003,"Rattan Bazaar Road, Park Town,",,,,,,,,,,"Cloth, Bed & Matters shop.",,,,,,,,,,,,,,,,,,,,,044 25353104,,,,09:30-21:00,,,,,,,,,,,,,,,,,,,
POINT (80.1911414 12.9720719),,,,C K Selvam Super Store,,supermarket,Chennai,600091,Medavakkam Main Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+91 44 2224 7484;+91 44 2224 7385;+91 96006 45713;+91 96006 45714,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,Ullagaram Madipakkam,,,,,,
POINT (80.1905786 12.9709195),More,Q6910891,en:More (store),More,,supermarket,Chennai,600091,Mount - Medavakkam Road,,,,,,,,,,Aditya Birla Retail Limited,1,,,,,,,,,,,,,,,,,,,,+91 74488 07619,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,,0,,,,,
POINT (80.2188896 12.9716144),,,,Sri Kannan Super Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.240596 13.044123),More,Q6910891,en:More (store),More,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.183571 13.0469663),,,,Grace Supermarket,,supermarket,,,,,,,,,,,,,Grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (80.2061677 13.0853781),,,,Santhosh Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
