geometry,brand,brand:wikidata,brand:wikipedia,name,name:ta,shop,addr:city,addr:postcode,addr:street,bench,bin,bus,highway,organic,public_transport,shelter,website,landuse,operator,addr:housenumber,air_conditioning,changing_table,check_date,currency:INR,internet_access,name:en,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:upi,payment:visa,second_hand,toilets,toilets:wheelchair,wikidata,wikipedia,source,building:levels,phone,ref:vatin,wheelchair,old_addr:housenumber,opening_hours,alt_name,is_in,note,addr:country,addr:place,comment,payment:coins,payment:cryptocurrencies,payment:electronic_purses,payment:notes,description,payment:maestro,addr:full,level,image,panoramax,addr:district,building,payment:google_pay,longitude,latitude
POINT (80.2430596 13.0574051),,,,Grace World,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2430596,13.0574051
POINT (80.2439087 12.9695845),,,,WhatsFresh,,supermarket,Perungudi,600096,Dr MGR Main Road,,,,,,,,,,WhatsFresh,"40, Global Infocity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2439087,12.969584499999996
POINT (80.1602804 13.0210736),,,,Arush Retail Supermarket,,supermarket,Mugalivakkam,600125,Mugalivakkam Main Road,,,,,,,,,,,1,yes,,,,,,yes,yes,yes,yes,,yes,,,,,,,,,,,,Mo-Su 07:00-22:00,,,,,,,yes,,,,,yes,,,,,,,,80.1602804,13.021073599999998
POINT (80.2155103 13.0342714),,,,Nuts N Spices,,supermarket,Chennai,600033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2155103,13.034271399999998
POINT (80.2151382 13.0341642),,,,Grace Super Market,,supermarket,Chennai,600033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2151382,13.034164199999996
POINT (80.2360977 12.9665853),,,,Krishna Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2360977,12.9665853
POINT (80.1897943 13.0932135),,,,Prabhuraja supermarket,,supermarket,Chennai,600050,"NSC Bose st, Kumaran nagar,Padi",,,,,,,,,,,139,,,,,,,yes,,,yes,,,,,,,,,,,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,,,,,,,,80.1897943,13.0932135
POINT (80.1480943 13.1214544),,,,Singapore Shopping,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1480943,13.1214544
POINT (80.1537233 13.1189931),,,,Grace Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1537233,13.118993099999997
POINT (80.268615 13.0474258),,,,அமுதம் பல்பொருள் சிறப்பு அங்காடி(சுய சேவை பிரிவு),,supermarket,,,VM St,,,,,,,,,,,430,,,,,,Amudham Super Market,,,,,,,,,,,,,,,,,,Mo-Su 08:00-20:00,,,,,,,,,,,,,,,,,,,,80.268615,13.047425799999997
POINT (80.2123238 13.0284745),,,,Ray Mart Supermarket,,supermarket,,,"No 1, Gangai Amman Koil St, Barathi Block, VSM Garden, West Jafferkhanpet, Chennai, Tamil Nadu 600083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044 2489 1942,,,,Mo-Su 09:30-21:30,,,,,,,,,,,,,,,,,,,,80.2123238,13.028474500000002
POINT (80.2088159 13.0299976),,,,Visalam Supermarket,,supermarket,,,"97/98, 1, Jawaharlal Nehru Road, Ashok Nagar, Chennai, Tamil Nadu 600083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044 2489 0527,,,,Mo-Su 09:00-23:00,,,,,,,,,,,,,,,,,,,,80.2088159,13.029997599999998
POINT (80.2323815 13.0365972),,,,Bharath Gem Testing Lab,,supermarket,Chennai,600017,Mothilol street,,,,,,,,,,,42,,,,,,,yes,,,,,,,,,,,,,+914424338725,,,,Mo-Sa 10:00-19:00,,,,,,,,,,,,,,,,,,,,80.2323815,13.036597199999997
POINT (80.2513463 12.9983201),,,,Dhanyam organic shop,,supermarket,Chennai,600020,Indira Nagar 3rd Ave,,,,,only,,,https://dhanyam.in/,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2513463,12.998320099999999
POINT (80.2211935 12.9761125),,,,Dhanyam Organic store,,supermarket,Chennai,600045,Velachery Main Road,,,,,only,,,https://dhanyam.in/,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2211935,12.9761125
POINT (80.2443029 13.0445056),,,,Dhanyam organic store,,supermarket,chennai,600017,Doctor Shivaji Ganesan Road,,,,,only,,,https://dhanyam.in/,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2443029,13.044505599999999
POINT (80.212224 13.0838561),,,,Dhanyam Organic shop,,supermarket,Chennai,600040,4th Street,,,,,only,,,https://dhanyam.in/,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.212224,13.083856100000002
POINT (80.2534825 12.942059),,,,Dhanyam organic store,,supermarket,Chennai,,East Coast Road SH49,,,,,only,,,https://dhanyam.in/,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2534825,12.942058999999997
POINT (80.2436443 12.87087),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2436443,12.870869999999998
POINT (80.2807246 13.0859974),,,,C.S.Rajasundaram Chetty & Sons.,,supermarket,Chennai,600003,"Rattan Bazaar Road, Park Town,",,,,,,,,,,"Cloth, Bed & Matters shop.",,,,,,,,,,,,,,,,,,,,,044 25353104,,,,09:30-21:00,,,,,,,,,,,,,,,,,,,,80.2807246,13.085997400000002
POINT (80.1911414 12.9720719),,,,C K Selvam Super Store,,supermarket,Chennai,600091,Medavakkam Main Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+91 44 2224 7484;+91 44 2224 7385;+91 96006 45713;+91 96006 45714,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,Ullagaram Madipakkam,,,,,,,80.1911414,12.972071899999996
POINT (80.1905786 12.9709195),More,Q6910891,en:More (store),More,,supermarket,Chennai,600091,Mount - Medavakkam Road,,,,,,,,,,Aditya Birla Retail Limited,1,,,,,,,,,,,,,,,,,,,,+91 74488 07619,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,,0,,,,,,80.1905786,12.970919499999999
POINT (80.2188896 12.9716144),,,,Sri Kannan Super Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2188896,12.971614399999996
POINT (80.240596 13.044123),More,Q6910891,en:More (store),More,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.240596,13.044122999999999
POINT (80.183571 13.0469663),,,,Grace Supermarket,,supermarket,,,,,,,,,,,,,Grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.183571,13.0469663
POINT (80.2061677 13.0853781),,,,Santhosh Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2061677,13.085378099999996
POINT (80.2547228 13.0309488),,,,,,supermarket,,600018,Abhiramapuram 4th Street,,,,,,,,https://www.terraearthfood.com,,,39,,,,,,Terra Earthfood Store,,,,,,,,,,,,,,+91 44 42088800,,,,Mo-Su 08:30-20:30,,,,,,,,,,,,,,,,,,,,80.2547228,13.0309488
POINT (80.2640619 12.9945334),,,,Alchemy Media Marketing,,supermarket,Chennai,600090,Rukmani Road,,,,,,,,https://alchemy-media-marketing.com,,,56/16,,,,,,,,,,,,,,,,,,,,,,,,Mo-Fr 09:00-17:00,,,,,,,,,,,Home improvement Products,,,,,,,,,80.2640619,12.994533399999996
POINT (80.2014918 13.1255155),,,,Venkateshwara fruit shop,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2014918,13.1255155
POINT (80.2017441 13.126522),,,,Reliance super market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2017441,13.126521999999998
POINT (80.216663 12.9911157),Big Bazaar,Q3631008,,Big Bazaar,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.216663,12.9911157
POINT (80.2210455 13.0077889),,,,TecEx India Private Limited,,supermarket,Chennai,600032,"Little Mount, Kotturpuram",,,,,,,,https://tecex.com/,,,2669+M7G,,,,,,,,,,,,,,,,,,,,(02) 9056 4057,,,,Mon - Thu 8:00-18:00; Fri 8:00 - 17:00,,,,,,,,,,,TecEx is a leading provider of import/export and compliance solutions for the IT industry. Our team of professionals is committed to providing seamless and secure transportation of IT hardware and technology equipment worldwide.,,,,https://local-platform.s3.us-east-2.amazonaws.com/location/logo/53918/9AhONWTswKTcdKQzHlOZ01BkGTwagNV8QnxyYJH6.png,,,,,80.2210455,13.007788899999998
POINT (80.1655614 13.0759757),,,,Jeevan,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,,,,,,,,80.1655614,13.075975699999999
POINT (80.1714303 13.0777907),,,,Smart Bazzar,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1714303,13.077790699999998
POINT (80.2263691 13.0473227),,,,Grace Super market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2263691,13.047322699999997
POINT (80.2795842 13.0944353),,,,Gupta pan bhandar,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2795842,13.094435300000002
POINT (80.279808 13.0956228),,,,Rakshkumar & Co,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.27980800000002,13.0956228
POINT (80.2017243 13.1286953),,,,grace supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.20172430000001,13.128695300000002
POINT (80.2017644 13.1295276),,,,Sivaram stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2017644,13.129527600000001
POINT (80.2402905 12.9412022),,,,Amma Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2402905,12.9412022
POINT (80.1534391 13.1262141),Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1534391,13.1262141
POINT (80.1532965 13.0148344),,,,Nikis SuperMarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1532965,13.014834399999994
POINT (80.2240167 13.0131367),,,,Daniel Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2240167,13.0131367
POINT (80.2546834 13.0090742),,,,Vanga Vanga,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2546834,13.0090742
POINT (80.2539882 13.0096655),,,,Green Bean,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2539882,13.009665499999999
POINT (80.2519401 13.0097391),,,,Fresh2day,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2519401,13.009739099999997
POINT (80.2200924 12.9720714),DMart,Q5203271,,DMart,,supermarket,,,,,,,,,,,,,,,,,2026-03-11,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0;1,,,,,,80.2200924,12.972071399999999
POINT (80.2084569 13.1027446),,,,,,supermarket,,600049,Madras Tiruvallur High Road,,,,,,,,,,,,,,2026-03-11,,,Grace Supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2084569,13.1027446
POINT (80.2705059 13.0338908),,,,Ambika Appalam Depot ( Department Store ),,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,,,,bdcdbef0-3c84-4181-bf28-e00faec9dafa,,,,80.2705059,13.0338908
POINT (80.1794808 13.0868082),,,,Sri Balaji Supermarket,,supermarket,,,,,,,,,,,,,,,,,2026-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1794808,13.0868082
POINT (80.2178059 12.9876878),,,,Diyamart,,supermarket,Chennai,600042,Marudupandi Street,,,,,,,,https://www.diyamart.com/,,,2,yes,,,,,,,,,,,,,,,,,,,+919445477032,,,,,,,,,,,,,,,,,,,,,Chennai,,,80.2178059,12.987687800000002
"POLYGON ((80.2177812 13.0901849, 80.2179756 13.0901875, 80.2179743 13.0900895, 80.2177785 13.0900882, 80.2177812 13.0901849))",,,,Yesesi Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.21787761827298,13.09013746787266
"POLYGON ((80.2058621 13.0849276, 80.2058542 13.0847862, 80.2060997 13.0847836, 80.206105 13.0849173, 80.2058621 13.0849276))",,,,Santosh Super Stores,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.20597909709018,13.084853600775272
"POLYGON ((80.2215507 13.024358, 80.2216746 13.0243666, 80.2216551 13.0246752, 80.221533 13.0246666, 80.2215507 13.024358))",Reliance Fresh,Q7311014,en:Reliance Fresh,Reliance Fresh,,supermarket,Saidapet,600015,Tank Square Street,,,,,,,,,,Reliance Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2216033767591,13.024516225505957
"POLYGON ((80.1692619 13.1319648, 80.1694771 13.1319472, 80.1694658 13.1318166, 80.1692506 13.1318342, 80.1692619 13.1319648))",,,,Reliance Smart Superstore,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.16936385000005,13.131890700017204
"POLYGON ((80.1490986 13.1229214, 80.1493722 13.1226931, 80.1493636 13.1226441, 80.1493252 13.1226036, 80.1490478 13.122865, 80.1490986 13.1229214))",,,,Ponnu Super Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.1492197718447,13.122762444630013
"POLYGON ((80.1783372 13.0164561, 80.1784771 13.0164246, 80.1784434 13.0162828, 80.1783035 13.0163144, 80.1783372 13.0164561))",Nilgiri's,Q17079567,,Nilgiri's,,supermarket,,,,,,,,,,,https://www.nilgiris1905.com/,,Nilgiris1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.17839030735091,13.016369471338121
"POLYGON ((80.2437089 12.9599603, 80.243817 12.9599241, 80.2437435 12.9597092, 80.2436233 12.9597453, 80.2436685 12.9598553, 80.2437089 12.9599603))",,,,JK Supermart,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 09:00-22:00,,,,,,,,,,,,,,,,,,yes,,80.24372269955028,12.95983296612122
"POLYGON ((80.227011 13.0489507, 80.2271254 13.0489247, 80.2271086 13.0488543, 80.2269942 13.0488802, 80.227011 13.0489507))",,,,Pazhamudhir Nilayam,,supermarket,,,Viswanathapuram Main Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.22705978744023,13.048902479078064
"POLYGON ((80.2049645 12.9656845, 80.2050659 12.9656636, 80.2050495 12.9655882, 80.2049481 12.9656092, 80.2049645 12.9656845))",,,,Himalayas supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,yes,,80.20500701045121,12.965636371496322
"POLYGON ((80.2217708 13.0649738, 80.2219079 13.0649563, 80.2218865 13.0647968, 80.2217494 13.0648143, 80.2217708 13.0649738))",,,,Annachi Kadai,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.22182864999772,13.064885300001094
"POLYGON ((80.2051679 12.9375889, 80.205718 12.9375271, 80.2056949 12.9373776, 80.2051486 12.9374258, 80.2051679 12.9375889))",More,Q6910891,,More,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.20542855625771,12.937480364874297
"POLYGON ((80.224531 13.075879, 80.2247579 13.0758607, 80.2247505 13.075773, 80.2245235 13.0757913, 80.224531 13.075879))",,,,Muthu Super Market,,supermarket,,,Ayyavoo Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.22464072300238,13.075825996963657
"POLYGON ((80.2640384 13.0478346, 80.2641824 13.0478241, 80.2641608 13.0475439, 80.2640168 13.0475545, 80.2640384 13.0478346))",,,,Spencer's Food World,,supermarket,chennai,600014,Avvai Shanmugam Salai,,,,,yes,,,https://www.spencers.in/,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.2640996041582,13.047689273429487
"POLYGON ((80.151626 13.1192602, 80.1515352 13.1192866, 80.1515806 13.1194252, 80.1516758 13.119403, 80.151626 13.1192602))",,,,Rajan Supermarket,,supermarket,Chennai,,North Park Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.15160478747674,13.119344024344684
"POLYGON ((80.1499834 13.1224116, 80.1502271 13.1223605, 80.1502087 13.1221804, 80.1499482 13.1222351, 80.1499834 13.1224116))",,,,Pasumai Pazhamudir Nilayam,,supermarket,Chennai,600053,Old Township Road,,,,,,,,,,,,,,,,,,yes,yes,yes,,yes,,,,,,,,,,,,,Mo-Su 7:30-22:00,,,,,,,,,,,,,,,,,,yes,yes,80.15009170961346,13.122295907426631
"POLYGON ((80.1519857 13.1186438, 80.1518249 13.1187075, 80.1519429 13.1189831, 80.1521038 13.1189267, 80.1519857 13.1186438))",,,,blinkit Grocery store,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.15196447142785,13.118814788320638
"POLYGON ((80.2193299 13.0664605, 80.2194115 13.0664724, 80.219445 13.0662543, 80.2193635 13.0662424, 80.2193299 13.0664605))",,,,Velammal Store,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.21938747121203,13.066357421721849
"POLYGON ((80.1480419 13.1215332, 80.1482401 13.1214007, 80.1478943 13.1212541, 80.1478586 13.1212734, 80.1480419 13.1215332))",,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.14804018546343,13.121389799820435
"POLYGON ((80.2360693 12.9666734, 80.2361282 12.9666671, 80.2361151 12.9665259, 80.2360585 12.9665354, 80.2360693 12.9666734))",,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,commercial,,80.23609292929083,12.966600837027265
"POLYGON ((80.1519012 13.1184589, 80.1521362 13.1183479, 80.1520021 13.118084, 80.1517627 13.118216, 80.1519012 13.1184589))",,,,Farm Bazzar,,supermarket,,,North Park Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.15195110719375,13.118275017307534
"POLYGON ((80.1536677 13.1190702, 80.1538001 13.1190549, 80.1537748 13.1188469, 80.1536424 13.1188622, 80.1536677 13.1190702))",,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.15372124999544,13.118958549994597
"POLYGON ((80.1496324 13.1203268, 80.1496025 13.1202327, 80.1498641 13.1199309, 80.1499181 13.1202728, 80.1496324 13.1203268))",,,,Kaveri Supermarket,,supermarket,Chennai,600053,Chennai - Tiruttani - Renigunta Road,,,,,,,,,,,,,,,,,,yes,yes,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennai,yes,,80.14977850315556,13.120173483627799
"POLYGON ((80.2377171 12.987615, 80.2379129 12.9876163, 80.2379176 12.9875458, 80.2378714 12.9875451, 80.237872 12.9875562, 80.2377567 12.9875562, 80.2377574 12.9875438, 80.2377171 12.9875431, 80.2377171 12.987615))",,,,Prime Mart,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,yes,,Mo-Su 09:00-21:30; PH open,,,,,,,,,,,,,,0,,,,yes,,80.23781618411428,12.987583044236974
"POLYGON ((80.2366948 12.9566322, 80.2376389 12.9564845, 80.2376108 12.9562584, 80.2372755 12.9562545, 80.2372326 12.9552233, 80.2368665 12.9552495, 80.2369443 12.9561565, 80.2366425 12.9561931, 80.2366948 12.9566322))",DMart,Q5203271,,DMart,,supermarket,,,,,,,,,,,,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.23708379157291,12.956046813735666
"POLYGON ((80.1523596 13.1185358, 80.1525585 13.1184648, 80.1525296 13.1183185, 80.1523126 13.1184323, 80.1523596 13.1185358))",,,,SSK Super Mart,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,80.15244390702338,13.118434590467604
