geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,brand:hi,name:en,longitude,latitude
POINT (80.1926388 13.0867787),atm,Bank of Baroda,,Q2003797,,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,,,,,80.1926388,13.086778700000004
POINT (80.1924214 13.0845781),atm,Canara Bank,Canara Bank,Q2003777,,,,,Canara Bank,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.1924214,13.084578099999996
POINT (80.1987535 13.0825873),atm,Indian Bank,,Q2003789,en:Indian Bank,,,,Indian Bank,,,Indian Bank,,Q2003789,en:Indian Bank,,,,80.1987535,13.0825873
POINT (80.2695057 13.052885),atm,Axis Bank,,Q2003549,en:Axis Bank,,,,Axis Bank,,24/7,Axis Bank,,Q2003549,en:Axis Bank,,,,80.2695057,13.052885
POINT (80.2124946 13.0401644),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,en:Canara Bank,,केनरा बैंक,Canara Bank,80.2124946,13.040164400000002
POINT (80.2116896 13.0570634),atm,,,,,,,,Indicash ATM,,,,,,,,,,80.2116896,13.0570634
POINT (80.2091184 13.0296904),atm,City Union Bank,City Union Bank,Q2040264,,,,,City Union Bank,,,City Union Bank,,Q2040264,,CUB,सिटी यूनियन बैंक,City Union Bank,80.2091184,13.029690399999998
POINT (80.1748778 12.9866854),atm,,,,,,,,,,,,,,,,,,80.1748778,12.9866854
POINT (80.1804073 13.0798051),atm,Tamilnad Mercantile Bank Limited,,Q2044991,,,,,Tamilnad Mercantile Bank Limited,,,Tamilnad Mercantile Bank Limited,,Q2044991,,,,,80.1804073,13.0798051
POINT (80.1812905 13.0777386),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.1812905,13.0777386
POINT (80.2092043 13.0494006),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,80.2092043,13.049400600000002
POINT (80.2757315 13.0614042),atm,,,,,,,,,,,bank of boroda,,,,,,,80.2757315,13.0614042
POINT (80.2866045 13.080138),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.2866045,13.080138000000002
POINT (80.2627557 13.0744747),atm,,,,,,,,,,,,,,,,,,80.2627557,13.0744747
POINT (80.2866224 13.0801885),atm,Axis Bank,,Q2003549,en:Axis Bank,,,,Axis Bank,,,Axis Bank,,Q2003549,en:Axis Bank,,,,80.2866224,13.080188499999998
POINT (80.2866326 13.0802396),atm,Indian Bank,,Q2003789,en:Indian Bank,,,,Indian Bank,,,Indian Bank,,Q2003789,en:Indian Bank,,,,80.2866326,13.0802396
POINT (80.2622478 13.0744128),atm,Karur Vysya Bank,,Q6373724,,,,,Karur Vysya Bank,,,Karur Vysya Bank,,Q6373724,,,,,80.2622478,13.0744128
POINT (80.2865943 13.080095),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,80.2865943,13.080095000000002
POINT (80.2619955 13.0741156),atm,,,,,,,,,,,,,,,,,,80.2619955,13.074115600000004
POINT (80.2554789 13.069449),atm,,,,,,,,,,,,,,,,,,80.2554789,13.069449000000002
POINT (80.2042888 12.9801453),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,,80.2042888,12.980145300000002
POINT (80.2101487 13.1074334),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.2101487,13.1074334
POINT (80.196884 13.0874666),atm,South Indian Bank,,Q2044973,,,,,South Indian Bank,,,South Indian Bank,,Q2044973,,,,,80.196884,13.0874666
POINT (80.2514393 12.9775683),atm,IndusInd Bank,,Q2040323,,,,,IndusInd Bank,,,IndusInd Bank,,Q2040323,,,,,80.2514393,12.977568299999996
POINT (80.2513119 12.9774476),atm,Axis Bank,,Q2003549,,,,,,,,Axis Bank,,Q2003549,,,,,80.2513119,12.977447599999998
POINT (80.2512818 12.9774372),atm,City Union Bank,City Union Bank,Q2040264,,,,,,,,City Union Bank,,Q2040264,,CUB,सिटी यूनियन बैंक,City Union Bank,80.2512818,12.977437200000002
POINT (80.2510412 12.9773441),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.25104120000002,12.977344100000002
POINT (80.2509345 12.9801406),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.2509345,12.980140600000002
POINT (80.2770249 13.0305536),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.2770249,13.0305536
POINT (80.2686536 13.0809411),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.2686536,13.0809411
POINT (80.2737043 13.0666645),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,80.2737043,13.066664500000002
POINT (80.2738187 13.0661682),atm,,,,,,,,,,,Lakshmi Vilas Bank,,,,,,,80.2738187,13.066168199999998
POINT (80.2730667 13.0671125),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.2730667,13.0671125
POINT (80.2718111 13.0687668),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2718111,13.0687668
POINT (80.2711311 13.0677473),atm,,,,,,,,Digi Zone,,,digizone,,,,,,,80.2711311,13.0677473
POINT (80.2707209 13.067372),atm,South Indian Bank,,Q2044973,en:South Indian Bank,,,,South Indian Bank,,,South Indian Bank,,Q2044973,en:South Indian Bank,,,,80.2707209,13.067372
POINT (80.2707892 13.0674249),atm,,,,,,,,,,,Indusland Bank,,,,,,,80.2707892,13.0674249
POINT (80.2116081 13.0508286),atm,Bank of Baroda,,Q2003797,en:Bank of Baroda,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,en:Bank of Baroda,,,,80.2116081,13.050828599999994
POINT (80.2116062 13.0509355),atm,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,Indian Overseas Bank,,,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,80.2116062,13.050935499999998
POINT (80.2118631 13.0510984),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.2118631,13.0510984
POINT (80.2669641 13.044745),atm,Punjab National Bank,,Q2743499,en:Punjab National Bank,,,,Punjab National Bank,,,Punjab National Bank,,Q2743499,en:Punjab National Bank,,,,80.2669641,13.044745
POINT (80.2129835 13.0871248),atm,Andhra Bank,,Q2003476,en:Andhra Bank,,,,Andhra Bank,,,Andhra Bank,,Q2003476,en:Andhra Bank,,,,80.2129835,13.0871248
POINT (80.2100847 13.1055745),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,yes,no,,Canara Bank,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.2100847,13.105574499999998
POINT (80.1768658 13.0246313),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,80.1768658,13.0246313
POINT (80.1771232 13.0270886),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,80.1771232,13.0270886
POINT (80.1697918 13.0954718),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.1697918,13.095471799999997
POINT (80.2426006 13.0559779),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.2426006,13.055977900000002
POINT (80.2481717 13.055904),atm,Syndicate Bank,,Q2004088,en:Syndicate Bank,,,,Syndicate Bank,,,Syndicate Bank,,Q2004088,en:Syndicate Bank,,,,80.2481717,13.055903999999998
POINT (80.2490116 13.0555789),atm,,,,,,,,Punjab Bank,,,,,,,,,,80.2490116,13.055578900000002
POINT (80.2444046 13.0549203),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.2444046,13.054920299999996
POINT (80.2424645 13.0553751),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,80.2424645,13.0553751
POINT (80.2473074 13.0532926),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,en:Canara Bank,,केनरा बैंक,Canara Bank,80.2473074,13.0532926
POINT (80.2465939 13.053128),atm,Bandhan Bank,,Q19882235,en:Bandhan Bank,,,,Bandhan Bank,,,Bandhan Bank,,Q19882235,en:Bandhan Bank,,,,80.2465939,13.053127999999996
POINT (80.2425157 13.0586237),atm,,,,,,,,,,,DCB Bank,,,,,,,80.2425157,13.058623699999998
POINT (80.2414341 13.0582447),atm,,,,,,,,,,,UCB Bank,,,,,,,80.2414341,13.0582447
POINT (80.1904406 12.9708044),atm,Tamilnad Mercantile Bank Limited,,Q2044991,,yes,no,,Tamilnad Mercantile Bank Limited,,,Tamilnad Mercantile Bank Limited,,Q2044991,,,,,80.1904406,12.9708044
POINT (80.1903771 12.9710295),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,yes,no,,Canara Bank,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.1903771,12.971029499999997
POINT (80.2239769 12.9773907),atm,Bandhan Bank,,Q19882235,,yes,,,Bandhan Bank,,,Bandhan Bank,,Q19882235,,,,,80.2239769,12.9773907
POINT (80.210961 13.0370822),atm,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,Indian Overseas Bank,,24/7,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,80.210961,13.0370822
POINT (80.2111799 13.0370621),atm,Bank of Baroda,,Q2003797,en:Bank of Baroda,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,en:Bank of Baroda,,,,80.2111799,13.0370621
POINT (80.2099479 13.0277712),atm,Axis Bank,,Q2003549,en:Axis Bank,,,,Axis Bank,,24/7,Axis Bank,,Q2003549,en:Axis Bank,,,,80.20994790000002,13.027771200000002
POINT (80.2088633 13.0280282),atm,Indian Bank,,Q2003789,en:Indian Bank,,,,Indian Bank,,,Indian Bank,,Q2003789,en:Indian Bank,,,,80.20886330000002,13.0280282
POINT (80.2120008 13.0278116),atm,Bank of Baroda,,Q2003797,en:Bank of Baroda,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,en:Bank of Baroda,,,,80.2120008,13.0278116
POINT (80.2099324 13.0277798),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,80.2099324,13.0277798
POINT (80.2099787 13.0304702),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,80.2099787,13.0304702
POINT (80.1831074 12.9787857),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.1831074,12.978785699999998
POINT (80.1831133 12.9787319),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,80.1831133,12.9787319
POINT (80.1831219 12.9786591),atm,Punjab National Bank,,Q2743499,en:Punjab National Bank,,,,Punjab National Bank,,,Punjab National Bank,,Q2743499,en:Punjab National Bank,,,,80.1831219,12.9786591
POINT (80.192262 12.974386),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,80.192262,12.974386
POINT (80.1938226 12.9772869),atm,Axis Bank,,Q2003549,en:Axis Bank,,,,Axis Bank,,,Axis Bank,,Q2003549,en:Axis Bank,,,,80.1938226,12.9772869
POINT (80.1938303 12.977345),atm,Canara Bank,Canara Bank,Q2003777,en:Canara Bank,,,,Canara Bank,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.1938303,12.977345
POINT (80.1917534 12.9730356),atm,Indian Bank,,Q2003789,en:Indian Bank,,,,Indian Bank,,,Indian Bank,,Q2003789,en:Indian Bank,,,,80.1917534,12.973035599999998
POINT (80.1920876 12.9651522),atm,,,,,,,,,,,Lakshmi Vilas Bank,,Q6479935,en:Lakshmi Vilas Bank,,,,80.1920876,12.9651522
POINT (80.2419714 13.0699549),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.2419714,13.0699549
POINT (80.1803841 13.0501228),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.1803841,13.0501228
POINT (80.1814506 13.0496187),atm,Punjab National Bank,,Q2743499,,,,,Punjab National Bank,,,Punjab National Bank,,Q2743499,,,,,80.1814506,13.0496187
POINT (80.1901741 12.9692659),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,80.1901741,12.969265899999998
POINT (80.2250666 12.9780142),atm,Union Bank of India,,Q2004078,,,,,Union Bank of India,,,Union Bank of India,,Q2004078,,,,,80.2250666,12.9780142
POINT (80.2237585 12.9822495),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2237585,12.9822495
POINT (80.2217445 12.982491),atm,Union Bank of India,,Q2004078,,,,,Union Bank of India,,,Union Bank of India,,Q2004078,,,,,80.2217445,12.982490999999998
POINT (80.2223684 12.9764583),atm,Canara Bank,Canara Bank,Q2003777,,,,,Canara Bank,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.22236840000001,12.976458299999996
POINT (80.2208708 12.9806162),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.2208708,12.980616200000002
POINT (80.1900091 12.9695824),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,80.1900091,12.969582400000002
POINT (80.1795897 13.0910333),atm,,,,,,,,,,,,,,,,,,80.1795897,13.0910333
POINT (80.2877737 13.0904759),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2877737,13.0904759
POINT (80.2877164 13.0900552),atm,South Indian Bank,,Q2044973,,,,,South Indian Bank,,,South Indian Bank,,Q2044973,,,,,80.2877164,13.090055199999998
POINT (80.1831365 12.9785921),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,24/7,Axis Bank,,Q2003549,,,,,80.1831365,12.978592100000002
POINT (80.1834144 12.9751862),atm,Vijaya Bank ATM,,,,,,,,,24/7,Vijaya Bank,,,,,,,80.1834144,12.9751862
POINT (80.2427481 13.0593325),atm,Bank of Baroda,,Q2003797,,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,,,,,80.24274810000001,13.0593325
POINT (80.2862653 13.0961756),atm,City Union Bank,City Union Bank,Q2040264,,,,,City Union Bank,,,City Union Bank,,Q2040264,,CUB,सिटी यूनियन बैंक,City Union Bank,80.2862653,13.0961756
POINT (80.285344 13.0896743),atm,IndusInd Bank,,Q2040323,,,,,IndusInd Bank,,,IndusInd Bank,,Q2040323,,,,,80.285344,13.0896743
POINT (80.2853413 13.0896462),atm,Canara Bank,Canara Bank,Q2003777,,,,,Canara Bank,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.2853413,13.0896462
POINT (80.2016261 13.1251825),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,,80.2016261,13.1251825
POINT (80.2015059 13.123587),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,80.2015059,13.123586999999995
POINT (80.2015027 13.1237761),atm,Indian Overseas Bank,,Q2003611,,,,,Indian Overseas Bank,,,Indian Overseas Bank,,Q2003611,,,,,80.2015027,13.1237761
POINT (80.2421553 13.0319576),atm,City Union Bank,City Union Bank,Q2040264,,,,,City Union Bank,,,City Union Bank,,Q2040264,,CUB,सिटी यूनियन बैंक,City Union Bank,80.2421553,13.0319576
POINT (80.2905244 13.1026569),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2905244,13.1026569
POINT (80.2905213 13.1026336),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.2905213,13.1026336
POINT (80.2899089 13.1025752),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.2899089,13.1025752
