geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,created_by,check_date,brand:hi,brand:kn,brand:pa,brand:pnb,brand:ur,cash_in,level,name:en,name:hi,name:kn,name:pa,name:pnb,name:ur,wheelchair,brand:wikipedia:pa,fee,designation,website,branch,addr:city,addr:postcode,addr:street,brand:ta,name:ta,addr:housenumber,brand:fa,brand:mr,brand:website,name:fa,name:mr,short_name:pa,short_name:ur,description,phone,network,official_name,atm,longitude,latitude
POINT (80.1795897 13.0910333),atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1795897,13.091033300000001
POINT (80.2877737 13.0904759),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2877737,13.0904759
POINT (80.2877164 13.0900552),atm,South Indian Bank,,Q2044973,,,,,South Indian Bank,,,South Indian Bank,,Q2044973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2877164,13.090055199999998
POINT (80.1831365 12.9785921),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,24/7,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1831365,12.978592100000002
POINT (80.1834144 12.9751862),atm,Vijaya Bank ATM,,,,,,,,,24/7,Vijaya Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1834144,12.9751862
POINT (80.2427481 13.0593325),atm,Bank of Baroda,,Q2003797,,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.24274810000001,13.0593325
POINT (80.2862653 13.0961756),atm,City Union Bank,City Union Bank,Q2040264,,,,,City Union Bank,,,City Union Bank,,Q2040264,,CUB,,,सिटी यूनियन बैंक,,,,سٹی یونین بینک,,,City Union Bank,सिटी यूनियन बैंक,,,,سٹی یونین بینک,,,,,,,,,,சிட்டி யூனியன் வங்கி,சிட்டி யூனியன் வங்கி,,سیتی یونیون بنک,सिटी युनियन बँक,https://www.cityunionbank.com,سیتی یونیون بنک,सिटी युनियन बँक,ਸੀ ਯੂ ਬੀ,سی یو بی,,,,,,80.2862653,13.0961756
POINT (80.285344 13.0896743),atm,IndusInd Bank,,Q2040323,,,,,IndusInd Bank,,,IndusInd Bank,,Q2040323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.285344,13.089674299999999
POINT (80.2853413 13.0896462),atm,Canara Bank,Canara Bank,Q2003777,,,,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,80.2853413,13.089646199999999
POINT (80.2016261 13.1251825),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2016261,13.125182500000001
POINT (80.2015059 13.123587),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2015059,13.123586999999995
POINT (80.2015027 13.1237761),atm,Indian Overseas Bank,,Q2003611,,,,,Indian Overseas Bank,,,Indian Overseas Bank,,Q2003611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2015027,13.1237761
POINT (80.2421553 13.0319576),atm,City Union Bank,City Union Bank,Q2040264,,,,,City Union Bank,,,City Union Bank,,Q2040264,,CUB,,,सिटी यूनियन बैंक,,,,,,,City Union Bank,सिटी यूनियन बैंक,,,,,,,,,,,,,,சிட்டி யூனியன் வங்கி,சிட்டி யூனியன் வங்கி,,,,,,,,,,,,,,80.2421553,13.0319576
POINT (80.2905244 13.1026569),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2905244,13.1026569
POINT (80.2905213 13.1026336),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2905213,13.102633599999999
POINT (80.2899089 13.1025752),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2899089,13.102575199999999
POINT (80.1707399 13.0996555),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,SBI ATM,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1707399,13.0996555
POINT (80.2867135 13.0985202),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2867135,13.0985202
POINT (80.2867305 13.0987516),atm,Indian Overseas Bank,,Q2003611,,,,,,,,Indian Overseas Bank,,Q2003611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2867305,13.098751599999998
POINT (80.2782183 13.0579566),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2782183,13.0579566
POINT (80.290344 13.0968317),atm,,,,,,,,,,,indicash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indicash,,,80.290344,13.096831700000001
POINT (80.2891889 13.0967994),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2891889,13.096799400000002
POINT (80.2703775 12.9973913),atm,Yes Bank,,Q2040394,,,,,,,,Yes Bank,,Q2040394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2703775,12.997391300000004
POINT (80.2514437 13.0530098),atm,CSB Bank,,Q5053244,,,,,,,,CSB Bank,,Q5053244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catholic Syrian Bank,,80.2514437,13.053009799999996
POINT (80.2602547 13.0602416),atm,Indian Overseas Bank,,Q2003611,,,,,,,,Indian Overseas Bank,,Q2003611,,,,2025-06-05,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2602547,13.060241599999998
POINT (80.2701198 13.0667051),atm,Indian Bank,,Q2003789,,,,,,,,Indian Bank,,Q2003789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2701198,13.066705099999998
POINT (80.2922808 13.0985331),atm,,,,,,,,,,,indicash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2922808,13.098533099999997
POINT (80.2421339 12.9597483),atm,Union Bank of India,,Q2004078,,yes,,,,,,Union Bank of India,,Q2004078,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2421339,12.959748299999996
POINT (80.2878941 13.099817),atm,Axis Bank,,Q2003549,,,,,,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2878941,13.099816999999998
POINT (80.280136 13.0999075),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.280136,13.099907499999999
POINT (80.2761381 13.0840024),atm,Kotak Mahindra Bank,,Q2040404,,,,,,,,Kotak Mahindra Bank,,Q2040404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2761381,13.084002400000001
POINT (80.2824716 13.09123),atm,City Union Bank,City Union Bank,Q2040264,,,,,,,,City Union Bank,,Q2040264,,CUB,,,सिटी यूनियन बैंक,,,,,,,City Union Bank,सिटी यूनियन बैंक,,,,,,,,,,,,,,சிட்டி யூனியன் வங்கி,சிட்டி யூனியன் வங்கி,,,,,,,,,,,,,,80.2824716,13.09123
POINT (80.2795714 13.0856071),atm,South Indian Bank,,Q2044973,,,,,,,,South Indian Bank,,Q2044973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2795714,13.0856071
POINT (80.275384 13.0917506),atm,Axis Bank,,Q2003549,,,,,,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.275384,13.0917506
POINT (80.2760158 13.0912034),atm,Union Bank of India,,Q2004078,,,,,,,,Union Bank of India,,Q2004078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2760158,13.091203400000003
POINT (80.2760396 13.0911955),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2760396,13.091195499999998
POINT (80.2799358 13.0975129),atm,Indian Overseas Bank,,Q2003611,,,,,,,,Indian Overseas Bank,,Q2003611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2799358,13.097512900000002
POINT (80.2817372 13.0933923),atm,Union Bank of India,,Q2004078,,,,,,,,Union Bank of India,,Q2004078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2817372,13.093392299999998
POINT (80.2423507 12.8636897),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2423507,12.863689699999997
POINT (80.1793893 13.0833915),atm,Indian Bank,,Q2003789,,,,,,,,Indian Bank,,Q2003789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1793893,13.083391499999996
POINT (80.1748405 13.0835496),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1748405,13.0835496
POINT (80.1746201 13.0835193),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1746201,13.0835193
POINT (80.1750656 13.0839195),atm,Canara Bank,Canara Bank,Q2003777,,,,,,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,80.1750656,13.083919500000002
POINT (80.2373607 13.0789991),atm,,,,,,,,,,24/7,SBI Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2373607,13.0789991
POINT (80.2800248 13.1026566),atm,Tamilnad Mercantile Bank Limited,,Q2044991,,,,,,,,Tamilnad Mercantile Bank Limited,,Q2044991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2800248,13.102656600000001
POINT (80.2366589 13.0140871),atm,Karur Vysya Bank,,Q6373724,,,,,,,,Karur Vysya Bank,,Q6373724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2366589,13.014087099999996
POINT (80.2848093 13.1001821),atm,Canara Bank,Canara Bank,Q2003777,,,,,,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,80.2848093,13.1001821
POINT (80.1673973 12.9833519),atm,Indian Overseas Bank,,Q2003611,,,,,Indian Overseas Bank ATM,,,Indian Overseas Bank,,Q2003611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,80.1673973,12.9833519
POINT (80.1673576 12.9834825),atm,Allahabad Bank,,Q2018840,,,,,Allahabad bank ATM,,,Allahabad Bank,,Q2018840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,80.1673576,12.983482500000001
POINT (80.1664969 12.983329),atm,Canara Bank,Canara Bank,Q2003777,,,,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,yes,80.16649690000001,12.983328999999998
POINT (80.1660427 12.98323),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,80.1660427,12.98323
POINT (80.2417176 13.0497445),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2417176,13.0497445
POINT (80.2444692 13.059406),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2444692,13.059405999999996
POINT (80.2442655 13.0616316),atm,Bank of Baroda,,Q2003797,,,,,Bank of Baroda,,,Bank of Baroda,,Q2003797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.24426550000001,13.061631599999998
POINT (80.2438028 13.0616283),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2438028,13.061628299999999
POINT (80.2159427 12.8784422),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2159427,12.878442200000002
POINT (80.1480866 13.1213581),atm,Bank of Baroda,,Q2003797,,yes,,,,,,Bank of Baroda,,Q2003797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1480866,13.121358100000002
POINT (80.149259 13.1177438),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.149259,13.117743800000001
POINT (80.2507436 12.97419),atm,Yes Bank,,Q2040394,,,,,Yes Bank,,,Yes Bank,,Q2040394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2507436,12.97419
POINT (80.3085601 13.1838996),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,2024-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3085601,13.1838996
POINT (80.2431859 12.8670613),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2431859,12.8670613
POINT (80.242356 12.8638654),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.242356,12.8638654
POINT (80.2429293 12.8671268),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2429293,12.867126800000001
POINT (80.2315148 13.0705151),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2315148,13.070515099999998
POINT (80.2516573 13.0038929),atm,State Bank of India,,Q1340361,,,,yes,,,,State Bank of India,,Q1340361,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2516573,13.0038929
POINT (80.2472772 13.0027082),atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2472772,13.0027082
POINT (80.1951837 13.0930233),atm,,,,,,,,,,24/7,State Bank Of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1951837,13.093023299999997
POINT (80.2240652 13.0109174),atm,TMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2240652,13.0109174
POINT (80.2272635 13.0123058),atm,,,,,,,,,,,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2272635,13.012305799999998
POINT (80.2398815 12.9835304),atm,,,,,,,,,,24/7,State Bank of India,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2398815,12.9835304
POINT (80.2398756 12.9834963),atm,,,,,,,,,,24/7,Canara bank,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2398756,12.983496299999999
POINT (80.2398615 12.9834645),atm,,,,,,,,,,24/7,HDFC bank,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2398615,12.983464499999998
POINT (80.2519849 13.0789921),atm,IndusInd Bank,,Q2040323,,,,,,,24/7,IndusInd Bank,,Q2040323,,,,2026-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2519849,13.0789921
POINT (80.2278391 13.0742264),atm,Canara Bank,Canara Bank,Q2003777,,,,,,,,Canara Bank,,Q2003777,,,,2026-02-28,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2278391,13.0742264
POINT (80.193973 13.0572628),atm,City Union Bank,City Union Bank,Q2040264,,,,,,,,City Union Bank,,Q2040264,,,,,सिटी यूनियन बैंक,,,,,,,,,,,,,,,,,,,,,,சிட்டி யூனியன் வங்கி,,,,,,,,,,,,,,,80.193973,13.057262800000002
POINT (80.1934222 13.0561049),atm,Punjab National Bank,,Q2743499,,,,,,,,Punjab National Bank,,Q2743499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1934222,13.0561049
POINT (80.193294 13.0559135),atm,State Bank of India,,Q1340361,,,,,,,,State Bank of India,,Q1340361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.193294,13.0559135
POINT (80.2208448 12.9749173),atm,State Bank of India,,Q1340361,,,,,,,,State Bank of India,,Q1340361,,,,2026-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2208448,12.974917299999998
POINT (80.2612686 13.0772816),atm,,,,,,,,,,,City union bank,,,,,,2026-03-27,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2612686,13.0772816
POINT (80.2744086 13.0830094),atm,Indian Overseas Bank,,,,,,,,,,Indian Overseas Bank,,Q2003611,,,,,,,,,,,0.0,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,80.2744086,13.0830094
POINT (80.2184609 13.0844642),atm,Canara Bank,Canara Bank,,,,,,,,24/7,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,0.0,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,80.2184609,13.084464200000001
POINT (80.2683163 13.0346076),atm,Yes Bank,,Q2040394,,,,yes,,,,Yes Bank,,Q2040394,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2683163,13.034607599999998
POINT (80.1953162 13.0661424),atm,State Bank of India,,Q1340361,,,no,yes,,,24/7,State Bank of India,,Q1340361,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1953162,13.0661424
POINT (80.2031823 13.0715766),atm,,,,,,,,,,,Punjab National Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2031823,13.071576599999998
POINT (80.2257857 13.0737964),atm,,,,,,,,,,,HDFC,,,,,,2026-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2257857,13.0737964
POINT (80.2257538 13.0733455),atm,,,,,,,,,,,SBI,,,,,,2026-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2257538,13.073345499999999
